City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,55.96,scattered clouds,-46.1927,168.8643,Ellie's Villa
2,Zaporizhzhya,UA,58.17,broken clouds,47.8167,35.1833,Intourist hotel
3,Iacu,BR,69.84,clear sky,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
4,Puerto Ayora,EC,64.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Airai,TL,78.19,few clouds,-8.9266,125.4092,
8,Khash,IR,71.35,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
10,Kapaa,US,76.1,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Fuling,CN,58.51,overcast clouds,29.7022,107.3919,Yingbin Hostel
12,Mar Del Plata,AR,59.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
13,Saint George,US,75.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
14,Buerarema,BR,72.48,overcast clouds,-14.9594,-39.2997,POUSADA JEQUITIBÁ BUERAREMA
15,Makakilo City,US,78.57,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
16,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
17,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
19,Atuona,PF,76.14,light rain,-9.8,-139.0333,Villa Enata
24,Hobart,AU,55.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
26,Bilma,NE,78.55,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
28,Poum,NC,77.2,scattered clouds,-20.2333,164.0167,
31,Chicama,PE,57.74,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
32,Orange Cove,US,79.61,clear sky,36.6244,-119.3137,
33,Ponta Do Sol,PT,72.23,few clouds,32.6667,-17.1,Hotel do Campo
35,Port Elizabeth,ZA,64.31,overcast clouds,-33.918,25.5701,39 On Nile Guest House
37,Cape Town,ZA,63.37,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
38,Busselton,AU,62.67,scattered clouds,-33.65,115.3333,Observatory Guest House
40,Lagoa,PT,69.69,scattered clouds,39.05,-27.9833,Casa Das Faias
41,Saint-Pierre,RE,78.57,clear sky,-21.3393,55.4781,Alize Plage
46,Bredasdorp,ZA,57.96,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
47,Hermanus,ZA,57.79,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
48,Laguna,US,77.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
49,Ahipara,NZ,56.97,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
50,Rikitea,PF,71.06,clear sky,-23.1203,-134.9692,People ThankYou
53,Kruisfontein,ZA,61.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
54,San Patricio,US,78.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
57,Sao Leopoldo,BR,60.4,clear sky,-29.7603,-51.1472,Hotel Suárez São Leopoldo
59,Cabo San Lucas,MX,76.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
60,Sitka,US,54.59,overcast clouds,57.0531,-135.33,Westmark Sitka
61,Ayagoz,KZ,68.77,clear sky,47.9714,80.4392,Gostinitsa Nur
67,Coalinga,US,79.12,clear sky,36.1397,-120.3602,Royal Lodge Motel
68,Bluff,NZ,54.05,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
71,Vinh Long,VN,76.98,moderate rain,10.25,105.9667,Phuong Thao Homestay
72,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
73,Ribeira Grande,PT,70.77,few clouds,38.5167,-28.7,Quinta da Meia Eira
74,Besikduzu,TR,66.09,overcast clouds,41.052,39.2284,Belek Palas Hotel
76,Byron Bay,AU,77.94,overcast clouds,-28.65,153.6167,Backpackers Inn
78,Mount Gambier,AU,54.77,scattered clouds,-37.8333,140.7667,The Commodore
79,Los Llanos De Aridane,ES,69.55,overcast clouds,28.6585,-17.9182,Valle Aridane
81,Fare,PF,78.12,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
82,Rocha,UY,57.94,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
85,Carnarvon,AU,77.23,few clouds,-24.8667,113.6333,Hospitality Carnarvon
92,Cidreira,BR,58.17,scattered clouds,-30.1811,-50.2056,Hotel Castelo
93,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Le four à pain
94,Wau,SS,73.6,overcast clouds,7.7029,27.9953,Universal Gab Hotel
96,Great Falls,US,51.67,clear sky,47.5002,-111.3008,Extended Stay America - Great Falls - Missouri River
100,New Norfolk,AU,54.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
102,Playas,EC,69.12,overcast clouds,-2.6333,-80.3833,Hostal Promenade
105,East London,ZA,63.54,clear sky,-33.0153,27.9116,Tu Casa
106,Davidson,US,57.51,clear sky,36.1501,-86.7833,Best Western Plus Music Row
110,Inhambane,MZ,77.0,few clouds,-23.865,35.3833,Oceano
111,San Quintin,MX,69.33,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
112,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
113,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
114,Quixeramobim,BR,74.34,clear sky,-5.1992,-39.2928,Hotel Veredas do Sertão
120,Sao Joao Da Barra,BR,74.7,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
121,Torbay,CA,50.58,overcast clouds,47.6666,-52.7314,Gallows Cove
122,Naron,ES,62.02,broken clouds,43.5167,-8.1528,Marcial
124,Pelotas,BR,54.16,clear sky,-31.7719,-52.3425,Hotéis Jacques Georges Tower
126,El Alto,PE,64.2,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
128,Richards Bay,ZA,73.13,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
130,Bethel,US,53.89,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
131,Bardiyah,LY,71.35,clear sky,31.7561,25.0865,بورتو بردية
132,Kodiak,US,51.31,mist,57.79,-152.4072,Best Western Kodiak Inn
134,Lompoc,US,57.52,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
138,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
140,Kahului,US,76.96,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
141,Sao Filipe,CV,78.39,scattered clouds,14.8961,-24.4956,Hotel Xaguate
148,Kamina,CD,73.99,clear sky,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
151,Mayumba,GA,75.7,overcast clouds,-3.432,10.6554,LIKWALE LODGE
153,Saint-Denis,FR,53.11,few clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
155,Nemuro,JP,53.01,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
157,Shingu,JP,72.14,overcast clouds,33.7333,135.9833,Shingu UI Hotel
158,Biel,CH,60.73,mist,47.1324,7.2441,Hotel Elite
165,Esperance,AU,68.83,overcast clouds,-33.8667,121.9,Hospitality Esperance
