City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,55.96,52,37,6.17,scattered clouds
1,Longyearbyen,SJ,78.2186,15.6401,39.04,70,75,14.97,broken clouds
2,Zaporizhzhya,UA,47.8167,35.1833,58.17,63,83,12.64,broken clouds
3,Iacu,BR,-12.7672,-40.2117,69.84,92,2,3.09,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,64.54,97,98,5.01,overcast clouds
5,Airai,TL,-8.9266,125.4092,78.19,46,21,4.81,few clouds
6,Hilo,US,19.7297,-155.09,80.28,100,58,5.01,broken clouds
7,Saskylakh,RU,71.9167,114.0833,27.1,96,100,10.27,light snow
8,Khash,IR,28.2211,61.2158,71.35,4,0,7.56,clear sky
9,Albany,US,42.6001,-73.9662,47.52,80,53,9.31,broken clouds
10,Kapaa,US,22.0752,-159.319,76.1,81,95,1.01,overcast clouds
11,Fuling,CN,29.7022,107.3919,58.51,94,100,1.41,overcast clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,59.09,85,100,12.66,overcast clouds
13,Saint George,US,37.1041,-113.5841,75.25,36,7,4.0,clear sky
14,Buerarema,BR,-14.9594,-39.2997,72.48,88,95,2.77,overcast clouds
15,Makakilo City,US,21.3469,-158.0858,78.57,71,75,4.61,broken clouds
16,Vila Velha,BR,-20.3297,-40.2925,76.95,83,0,8.05,clear sky
17,Avarua,CK,-21.2078,-159.775,75.25,83,20,8.05,few clouds
18,Atar,MR,20.5169,-13.0499,83.52,28,3,4.29,clear sky
19,Atuona,PF,-9.8,-139.0333,76.14,80,29,19.64,light rain
20,Marzuq,YE,14.4,46.4667,81.61,30,46,0.13,scattered clouds
21,Lorengau,PG,-2.0226,147.2712,84.76,67,80,11.32,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,39.31,75,40,23.02,scattered clouds
23,Hithadhoo,MV,-0.6,73.0833,81.36,76,28,14.32,scattered clouds
24,Hobart,AU,-42.8794,147.3294,55.26,56,75,10.36,broken clouds
25,Dikson,RU,73.5069,80.5464,30.88,93,100,12.84,overcast clouds
26,Bilma,NE,18.6853,12.9164,78.55,26,50,11.05,scattered clouds
27,Tiksi,RU,71.6872,128.8694,23.18,89,92,14.52,overcast clouds
28,Poum,NC,-20.2333,164.0167,77.2,76,35,8.34,scattered clouds
29,Kismayo,SO,-0.3582,42.5454,80.31,72,81,16.62,broken clouds
30,Yellowknife,CA,62.456,-114.3525,39.72,100,40,9.22,scattered clouds
31,Chicama,PE,-7.8447,-79.1469,57.74,85,90,6.08,overcast clouds
32,Orange Cove,US,36.6244,-119.3137,79.61,52,0,3.44,clear sky
33,Ponta Do Sol,PT,32.6667,-17.1,72.23,83,20,6.71,few clouds
34,Mazyr,BY,52.0495,29.2456,46.81,77,15,7.99,few clouds
35,Port Elizabeth,ZA,-33.918,25.5701,64.31,78,95,3.0,overcast clouds
36,Bubaque,GW,11.2833,-15.8333,81.68,77,97,8.88,light rain
37,Cape Town,ZA,-33.9258,18.4232,63.37,78,0,9.22,clear sky
38,Busselton,AU,-33.65,115.3333,62.67,53,31,10.22,scattered clouds
39,Khatanga,RU,71.9667,102.5,26.44,96,100,12.24,light snow
40,Lagoa,PT,39.05,-27.9833,69.69,83,45,9.01,scattered clouds
41,Saint-Pierre,RE,-21.3393,55.4781,78.57,53,0,5.75,clear sky
42,Nizwa,OM,22.9333,57.5333,89.94,14,0,3.42,clear sky
43,Ushuaia,AR,-54.8,-68.3,37.06,87,75,6.91,light intensity drizzle
