City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ancud,-41.8697,-73.8203,51.49,98,100,19.33,CL,2022-10-07 04:44:31
1,Namatanai,-3.6667,152.4333,85.51,58,100,11.61,PG,2022-10-07 04:44:31
2,Luderitz,-26.6481,15.1594,59.02,52,19,16.42,NA,2022-10-07 04:44:32
3,Qaanaaq,77.484,-69.3632,13.64,82,100,7.38,GL,2022-10-07 04:44:32
4,Tasiilaq,65.6145,-37.6368,33.96,69,10,4.43,GL,2022-10-07 04:43:20
5,Sao Joao Da Barra,-21.6403,-41.0511,72.09,90,76,15.01,BR,2022-10-07 04:44:33
6,Norman Wells,65.282,-126.8329,37.44,75,20,2.3,CA,2022-10-07 04:42:21
7,Rikitea,-23.1203,-134.9692,70.29,71,13,22.84,PF,2022-10-07 04:43:16
8,Darhan,49.4867,105.9228,42.26,44,100,20.58,MN,2022-10-07 04:44:34
9,Bengkulu,-3.8004,102.2655,78.06,72,100,3.65,ID,2022-10-07 04:44:34
10,Conde,-7.2597,-34.9075,74.66,100,75,3.44,BR,2022-10-07 04:44:35
11,Santiago Del Estero,-27.7951,-64.2615,62.6,55,3,6.62,AR,2022-10-07 04:42:40
12,Krasnaya Gora,52.9995,31.6023,44.37,96,0,6.91,RU,2022-10-07 04:44:35
13,Jalu,29.0331,21.5482,64.54,65,0,7.52,LY,2022-10-07 04:44:36
14,Hermanus,-34.4187,19.2345,47.8,76,4,5.84,ZA,2022-10-07 04:44:36
15,Baghdad,33.3406,44.4009,71.51,33,0,5.75,IQ,2022-10-07 04:40:26
16,Torbay,47.6666,-52.7314,53.76,97,100,5.01,CA,2022-10-07 04:44:37
17,Kwekwe,-18.9281,29.8149,67.68,37,0,7.16,ZW,2022-10-07 04:44:37
18,Severo-Kurilsk,50.6789,156.125,44.96,61,53,15.05,RU,2022-10-07 04:43:12
19,Carnarvon,-24.8667,113.6333,73.18,35,0,20.89,AU,2022-10-07 04:44:38
20,Raudeberg,61.9875,5.1352,52.47,1,100,20.62,NO,2022-10-07 04:44:38
21,Puerto Carreno,6.189,-67.4859,75.02,91,93,5.73,CO,2022-10-07 04:44:39
22,Jibuti,11.5,42.5,80.6,56,22,7.78,DJ,2022-10-07 04:44:39
23,Saldanha,-33.0117,17.9442,46.45,72,0,13.09,ZA,2022-10-07 04:44:39
24,Yar-Sale,66.8333,70.8333,38.1,98,100,9.71,RU,2022-10-07 04:44:40
25,Hondo,32.45,130.2,65.91,73,100,14.34,JP,2022-10-07 04:44:40
26,Punta Arenas,-53.15,-70.9167,41.11,70,100,16.11,CL,2022-10-07 04:43:13
27,Jishou,28.3167,109.7167,55.15,82,100,2.86,CN,2022-10-07 04:44:41
28,Patos,-7.0244,-37.28,74.7,74,19,4.34,BR,2022-10-07 04:42:02
29,Thompson,55.7435,-97.8558,30.36,69,0,9.22,CA,2022-10-07 04:44:41
30,Santa Cruz De La Palma,28.6835,-17.7642,73.54,73,20,20.71,ES,2022-10-07 04:44:42
31,Iqaluit,63.7506,-68.5145,24.53,85,75,10.36,CA,2022-10-07 04:44:42
32,San Patricio,28.017,-97.5169,82.26,68,100,7.58,US,2022-10-07 04:44:43
33,Kapaa,22.0752,-159.319,80.58,74,20,11.5,US,2022-10-07 04:42:07
34,Albany,42.6001,-73.9662,57.88,92,100,2.42,US,2022-10-07 04:43:14
35,Hobart,-42.8794,147.3294,65.05,79,75,5.75,AU,2022-10-07 04:44:00
36,Ribeira Grande,38.5167,-28.7,71.33,85,82,12.35,PT,2022-10-07 04:44:44
37,Leningradskiy,69.3833,178.4167,28.49,90,100,32.1,RU,2022-10-07 04:44:44
38,Ilebo,-4.3167,20.5833,70.36,96,100,2.24,CD,2022-10-07 04:44:45
39,La Ronge,55.1001,-105.2842,39.45,56,20,8.05,CA,2022-10-07 04:44:45
40,Ayolas,-27.4,-56.9,57.49,94,91,5.5,PY,2022-10-07 04:44:46
41,Faanui,-16.4833,-151.75,78.3,77,15,23.26,PF,2022-10-07 04:44:46
42,Busselton,-33.65,115.3333,59.07,56,70,8.03,AU,2022-10-07 04:43:19
43,Singkang,2.1006,102.7994,82.99,72,97,6.73,MY,2022-10-07 04:44:47
44,Hilo,19.7297,-155.09,80.28,78,100,5.75,US,2022-10-07 04:43:23
45,Yellowknife,62.456,-114.3525,36.12,75,0,2.3,CA,2022-10-07 04:44:47
46,Nyrob,60.733,56.7202,43.92,93,100,5.17,RU,2022-10-07 04:44:48
47,Abha,18.2164,42.5053,64.65,30,0,0.0,SA,2022-10-07 04:44:49
48,Abbeville,50.1,1.8333,49.96,80,26,6.73,FR,2022-10-07 04:44:49
49,Atuona,-9.8,-139.0333,77.45,75,5,20.67,PF,2022-10-07 04:43:22
50,Magistralnyy,56.1725,107.4458,36.55,71,100,7.16,RU,2022-10-07 04:44:50
51,Saint-Philippe,-21.3585,55.7679,76.59,70,36,14.52,RE,2022-10-07 04:44:50
52,Beringovskiy,63.05,179.3167,38.39,59,3,18.01,RU,2022-10-07 04:44:51
53,Puerto Ayora,-0.7393,-90.3518,65.55,95,73,1.99,EC,2022-10-07 04:44:51
54,Vaini,-21.2,-175.2,80.76,83,75,11.5,TO,2022-10-07 04:43:11
55,Rockingham,42.9668,-71.0995,57.97,89,69,3.76,US,2022-10-07 04:44:52
56,Lebu,-37.6167,-73.65,53.35,97,100,9.04,CL,2022-10-07 04:44:52
57,Danilov,58.1908,40.1717,48.96,83,48,11.16,RU,2022-10-07 04:44:52
58,Andover,51.2083,-1.4825,56.52,98,75,8.05,GB,2022-10-07 04:41:31
59,Viedma,-40.8135,-62.9967,49.42,48,50,11.12,AR,2022-10-07 04:44:53
60,Warri,5.5167,5.75,73.22,95,100,4.65,NG,2022-10-07 04:44:53
61,Avarua,-21.2078,-159.775,77.05,65,20,10.36,CK,2022-10-07 04:41:25
62,Sabancuy,18.9667,-91.1833,79.16,73,97,10.49,MX,2022-10-07 04:44:54
63,Kodiak,57.79,-152.4072,51.31,93,100,10.36,US,2022-10-07 04:43:11
64,Barrow,71.2906,-156.7887,37.42,70,0,27.63,US,2022-10-07 04:44:55
65,Careiro Da Varzea,-3.2003,-59.8119,86.61,57,42,3.15,BR,2022-10-07 04:44:56
66,Lasa,46.6166,10.7002,46.36,78,18,2.42,IT,2022-10-07 04:44:56
67,Khandyga,62.6667,135.6,26.96,50,78,0.74,RU,2022-10-07 04:44:57
68,Talnakh,69.4865,88.3972,29.21,95,100,11.39,RU,2022-10-07 04:44:57
69,Mar Del Plata,-38.0023,-57.5575,50.09,87,0,7.0,AR,2022-10-07 04:44:58
70,Port Alfred,-33.5906,26.891,59.18,86,100,5.01,ZA,2022-10-07 04:40:17
71,Torres,-29.3353,-49.7269,71.83,90,100,5.12,BR,2022-10-07 04:44:58
72,Lumberton,34.6182,-79.0086,62.91,88,0,0.0,US,2022-10-07 04:44:59
73,Dwarka,22.2394,68.9678,82.51,71,100,9.33,IN,2022-10-07 04:44:59
74,Lebyazhye,55.2689,66.4947,51.53,31,100,9.55,RU,2022-10-07 04:45:00
75,Kirensk,57.7853,108.1119,40.17,55,58,3.65,RU,2022-10-07 04:45:01
76,Dunedin,-45.8742,170.5036,48.04,70,4,7.09,NZ,2022-10-07 04:45:01
77,Novobirilyussy,56.9514,90.6661,37.62,72,81,5.08,RU,2022-10-07 04:45:02
78,Berlevag,70.8578,29.0864,44.6,76,75,32.21,NO,2022-10-07 04:45:02
79,Constitucion,-35.3333,-72.4167,52.32,84,9,5.57,CL,2022-10-07 04:45:03
80,Port Jervis,41.3751,-74.6927,59.14,92,100,2.57,US,2022-10-07 04:42:22
81,Mataura,-46.1927,168.8643,54.48,43,6,1.59,NZ,2022-10-07 04:43:23
82,Caravelas,-17.7125,-39.2481,74.16,88,100,7.05,BR,2022-10-07 04:45:04
83,Vanimo,-2.6741,141.3028,84.85,69,98,7.25,PG,2022-10-07 04:43:10
84,Ust-Tsilma,65.441,52.1498,44.87,90,100,11.27,RU,2022-10-07 04:45:04
85,Pisco,-13.7,-76.2167,57.25,88,0,5.75,PE,2022-10-07 04:45:05
86,Roma,43.2128,-75.4557,58.87,97,100,4.61,US,2022-10-07 04:42:29
87,Haines Junction,60.7522,-137.5108,39.15,60,91,1.14,CA,2022-10-07 04:45:06
88,Guerrero Negro,27.9769,-114.0611,69.3,85,8,14.14,MX,2022-10-07 04:45:07
89,Lazaro Cardenas,17.9583,-102.2,77.58,83,93,2.62,MX,2022-10-07 04:45:07
90,Bluff,-46.6,168.3333,54.81,62,12,10.42,NZ,2022-10-07 04:43:24
91,Moose Factory,51.2585,-80.6094,39.2,81,100,12.66,CA,2022-10-07 04:45:08
92,Hsinchu,24.8036,120.9686,84.18,74,47,7.0,TW,2022-10-07 04:45:08
93,Clyde River,70.4692,-68.5914,21.43,86,100,9.22,CA,2022-10-07 04:45:09
94,Paita,-5.0892,-81.1144,62.6,85,9,8.39,PE,2022-10-07 04:45:10
95,Novobiryusinskiy,56.9578,97.7076,37.09,73,97,5.01,RU,2022-10-07 04:45:10
96,Formosa Do Rio Preto,-11.0483,-45.1931,74.89,37,36,2.57,BR,2022-10-07 04:45:11
97,Ushuaia,-54.8,-68.3,42.46,70,75,4.61,AR,2022-10-07 04:43:48
98,Port Elizabeth,-33.918,25.5701,59.31,77,0,19.57,ZA,2022-10-07 04:45:11
99,Aklavik,68.2191,-135.0107,44.4,80,100,8.63,CA,2022-10-07 04:45:12
100,Mahebourg,-20.4081,57.7,75.25,60,20,11.5,MU,2022-10-07 04:43:17
101,Bethel,41.3712,-73.414,59.14,91,0,0.0,US,2022-10-07 04:45:12
102,Arraial Do Cabo,-22.9661,-42.0278,71.15,94,99,26.87,BR,2022-10-07 04:45:13
103,Amahai,-3.3333,128.9167,81.63,78,93,2.26,ID,2022-10-07 04:43:27
104,Santa Isabel,-23.3156,-46.2214,69.1,92,100,3.22,BR,2022-10-07 04:45:13
105,Bredasdorp,-34.5322,20.0403,52.75,82,2,2.37,ZA,2022-10-07 04:45:14
106,Nemuro,43.3236,145.575,51.04,72,100,6.62,JP,2022-10-07 04:45:14
107,Kendari,-3.945,122.4989,85.91,67,100,3.89,ID,2022-10-07 04:45:15
108,Colares,38.7992,-9.4469,68.99,83,33,3.0,PT,2022-10-07 04:45:15
109,Kurilsk,45.2333,147.8833,49.66,48,72,5.57,RU,2022-10-07 04:45:17
110,Upernavik,72.7868,-56.1549,23.29,85,100,1.83,GL,2022-10-07 04:43:15
111,Huarmey,-10.0681,-78.1522,61.47,86,8,7.47,PE,2022-10-07 04:45:18
